Vendor_ID,TPA_Name,IRDAI_Registration_No,Corporate_Address,Toll_Free_Helpline,Official_Contact_Email
TPA001,Medi Assist Insurance TPA Pvt. Ltd.,003,Tower D IBC Knowledge Park Bengaluru,1800-425-9449,info@mediassist.in
TPA002,MDIndia Health Insurance TPA Pvt. Ltd.,005,S. No. 46/1 E-Space IT Park Pune,1800-233-1166,customercare@mdindia.com
TPA003,Paramount Health Services & Insurance TPA Pvt. Ltd.,006,Plot No. A-442 Wagle Industrial Estate Thane,1800-22-6655,contact@paramounttpa.com
TPA004,Heritage Health Insurance TPA Pvt. Ltd.,008,NICCO House 5th Floor Kolkata,1800-102-4747,heritage_health@bajajallianz.co.in
TPA005,Family Health Plan Insurance TPA Ltd.,013,Srinilaya Cyber Spazio Banjara Hills Hyderabad,1800-425-4033,info@fhpl.net
TPA006,Raksha Health Insurance TPA Pvt. Ltd.,015,C/o Escorts Corporate Centre Faridabad,1800-180-1444,crcm@rakshatpa.com
TPA007,Vidal Health Insurance TPA Pvt. Ltd.,016,1st Floor Tower 2 Banni Corporate Park Bengaluru,1800-425-8885,customerservice@vidalhealthtpa.com
TPA008,Medsave Health Insurance TPA Ltd.,019,F-701A Lado Sarai New Delhi,1800-11-1142,customercare@medsave.in
TPA009,Genins India Insurance TPA Ltd.,020,A-117 Sector-2 Noida,1800-103-3050,info@geninsindia.com
TPA010,Health India Insurance TPA Services Pvt. Ltd.,022,Neelkanth Corporate Park Vidyavihar Mumbai,1800-220-102,info@healthindiatpa.com
TPA011,Good Health Insurance TPA Ltd.,023,Kukatpally Housing Board Colony Hyderabad,1800-102-7710,info@ghpltpa.com
TPA012,Park Mediclaim TPA Pvt. Ltd.,025,702 Vikrant Tower Rajendra Place New Delhi,1800-11-5533,info@parkmediclaim.co.in
TPA013,Safeway Insurance TPA Pvt. Ltd.,026,815 Vishwadeep Building District Centre New Delhi,1800-102-5678,info@safewaytpa.in
TPA014,Anmol Medicare TPA Ltd.,027,Anmol House 12/B Navrangpura Ahmedabad,1800-233-2525,info@anmolmedicare.com
TPA015,Grand Health TPA Services Pvt. Ltd.,029,Plot No 123 Sector 44 Gurugram,1800-102-9900,support@grandhealthtpa.com
TPA016,Rothshield Insurance TPA Ltd.,030,402 Raheja Chambers Nariman Point Mumbai,1800-22-2021,info@rothshield.co.in
TPA017,Ericson Insurance TPA Pvt. Ltd.,035,11C/D 2nd Floor Goregaon East Mumbai,1800-22-2035,info@ericsontpa.com
TPA018,Health Insurance TPA of India Ltd.,036,NBCC House 4th Floor Lodhi Road New Delhi,1800-102-3600,customerservice@hitpa.co.in
TPA019,Vision Digital India TPA Pvt. Ltd.,037,7th Floor DLF Cyber City Gurugram,1800-102-7788,support@visiontpa.in
TPA020,United Health Care Parekh Insurance TPA Pvt. Ltd.,002,B-Wing 5th Floor Andheri Kurla Road Mumbai,1800-22-2822,info@uhcpindia.com
TPA021,East West Assist TPA Pvt. Ltd.,014,38/1 East Patel Nagar New Delhi,1800-11-4646,info@eastwestassist.com
TPA022,Alankit Health Care TPA Ltd.,012,Alankit House Jhandewalan Extension New Delhi,1800-11-1111,health@alankit.com
TPA023,Dedicated Healthcare Services TPA Pvt. Ltd.,021,DHS House Vile Parle East Mumbai,1800-22-0211,info@dhstpa.com
TPA024,Any Time Medicare TPA,024,101 First Floor Okhla Phase 3 New Delhi,1800-11-2424,contact@anytimemedicare.com
TPA025,Sunrise Medicare TPA Pvt. Ltd.,028,A-45 Sector 63 Noida,1800-103-2828,support@sunrisetpa.com
TPA026,Apollo Munich Health TPA,031,Apollo Hospitals Greams Road Chennai,1800-102-0333,info@apollohealth.com
TPA027,Care Health Insurance TPA,032,Vipul Tech Square Golf Course Road Gurugram,1800-102-4488,customerfirst@careinsurance.com
TPA028,Star Health and Allied TPA,033,1 New Tank Street Nungambakkam Chennai,1800-425-2255,support@starhealth.in
TPA029,Navi General Insurance TPA,034,Salarpuria Business Center Koramangala Bengaluru,1800-102-2255,help@navi.com
TPA030,Reliance General Health TPA,038,Reliance Centre Prabhat Colony Mumbai,1800-300-9000,services@reliancehealth.com
